chain,date,fees_eth,tvl_usd,dex_vol_btc,dex_vol_eth,dex_vol_stable,borrow_vol_btc,borrow_vol_eth,borrow_vol_stable,stablecoin_supply,eth_open,eth_high,eth_low,n_tx,total_dex_vol,total_borrow_vol,dex_btc_share,dex_eth_share,borrow_btc_share,borrow_eth_share,eth_volatility
arbitrum,2025-01-01,4.731179362,2941745784,27141560.1,122674079.2,134341281.18,359793.4556,5484859.361,5652762.9655,3940107638.0,3345.613945,3361.268597,3323.542395,1619143,284156920.48,11497415.7821,0.09551609742304454,0.4317124460413564,0.03129341953173097,0.4770514926962302,0.011276316580513382
arbitrum,2025-01-02,7.503666415,2999994766,56073892.45,257679132.7,264202771.61,328722.7125,7140879.944,7259413.909,3907355212.0,3372.751299,3471.640783,3372.751299,1951410,577955796.76,14729016.5655,0.09702107456028347,0.445845744855472,0.022318035358176745,0.48481715749618964,0.02932012331573927
arbitrum,2025-01-03,8.117290738,3053396009,49166872.99,242405357.6,240459022.14,427528.2233,5032349.555,11347262.192,3868310631.0,3451.988792,3613.782353,3433.130554,1903385,532031252.72999996,16807139.9703,0.09241350529261418,0.455622402549006,0.025437297723199054,0.29941736451845435,0.05233267252160887
arbitrum,2025-01-04,5.080064565,3137188941,34358114.7,193001046.7,167179303.88,118702.5159,4859750.965,7340322.5127,3839528121.0,3606.967894,3659.712804,3583.368377,1815314,394538465.28,12318775.9936,0.087084321868633,0.48918182556174616,0.009635901810510213,0.3944994995870366,0.0211658182838264
arbitrum,2025-01-05,3.765239785,3171397240,25397296.13,136428647.0,129811241.61,1026903.562,703232.1867,3115295.646,3858900961.0,3659.359159,3659.359159,3610.825572,1722501,291637184.74,4845431.3947,0.0870852465286351,0.4678026470514337,0.21193232931194556,0.14513303964414914,0.013262865133266329
arbitrum,2025-01-06,17.82575375,3176876097,67402623.32,276215760.8,280429798.01,1274614.743,6720072.809,15218613.337000001,3765397557.0,3636.703526,3720.16866,3624.947376,2046325,624048182.13,23213300.889000002,0.10800868466588828,0.4426192859936246,0.0549088106467442,0.28949234066855245,0.026183405746229023
arbitrum,2025-01-07,33.99795148,3229514377,87059254.52,367519957.4,432470688.5,1340357.588,2338577.577,7211622.667,3616411421.0,3684.077738,3691.31909,3380.530957,2101476,887049900.42,10890557.832,0.09814470919705783,0.41431711702575785,0.12307520043294692,0.21473441609469246,0.0843598194995526
arbitrum,2025-01-08,18.62885425,3009913231,95519605.78,377300502.5,434094310.1,1361026.593,6972346.28,16481018.866,3559180892.0,3397.120237,3397.120237,3265.798145,2488510,906914418.38,24814391.739,0.10532372608059803,0.4160265785320329,0.05484827544093766,0.28097993911500085,0.03865688666821241
arbitrum,2025-01-09,14.2205608,2940892198,86467678.53,337880923.8,382850657.0,494069.4222,2078690.27,13515560.206999999,3453908785.0,3327.607255,3347.51484,3188.91346,2324032,807199259.33,16088319.899199998,0.10712061183228885,0.41858428373739026,0.03070982086977074,0.12920493146729164,0.04766228940079637
arbitrum,2025-01-10,13.62762208,2867890986,94372192.0,331168812.7,375094753.9,353389.7744,2097218.087,13354592.786,3382746023.0,3225.027671,3308.631339,3225.027671,2142042,800635758.5999999,15805200.6474,0.11787156767144676,0.41363230300765635,0.02235908181641045,0.13269164585677046,0.02592339555774317
arbitrum,2025-01-11,3.36562511,2942174424,29566761.43,119613013.2,135369155.89,432860.8148,488768.7915,4158294.4106,3249836126.0,3265.213326,3310.819506,3232.426167,1744841,284548930.52,5079924.0169,0.10390747691782962,0.4203600870381511,0.08521009632426575,0.09621576816384526,0.024008642368256627
